Episode,Agent,Mode,Action,Reward,Total Reward,Cooperative Reward,Done,Observation_1,Observation_2,Observation_3,Observation_4,Observation_5,Observation_6,Observation_7,Observation_8,Observation_9,Observation_10,Observation_11,Observation_12,Observation_13,Observation_14,Observation_15,Observation_16,Next_Observation_1,Next_Observation_2,Next_Observation_3,Next_Observation_4,Next_Observation_5,Next_Observation_6,Next_Observation_7,Next_Observation_8,Next_Observation_9,Next_Observation_10,Next_Observation_11,Next_Observation_12,Next_Observation_13,Next_Observation_14,Next_Observation_15,Next_Observation_16
1,adversary_0,cooperative,0,0.0,0.0,0.0,False,0.,0.,0.5479121,-0.12224312,-1.2173076,0.03293781,-0.7804757,0.8904201,0.16928375,0.51697916,-1.3595574,1.0734879,-0.02563269,0.69437176,0.,0.,0.,0.,0.71719587,0.39473605,-1.3865913,-0.48404136,-0.9497594,0.37344092,-0.16928375,-0.51697916,-1.5288411,0.55650866,-0.19491644,0.17739256,0.,0.
1,adversary_1,cooperative,3,0.0,0.0,0.0,False,0.,0.,0.71719587,0.39473605,-1.3865913,-0.48404136,-0.9497594,0.37344092,-0.16928375,-0.51697916,-1.5288411,0.55650866,-0.19491644,0.17739256,0.,0.,0.,0.,-0.8116453,0.9512447,0.14224984,-1.04055,0.5790818,-0.18306772,1.3595574,-1.0734879,1.5288411,-0.55650866,1.3339247,-0.3791161,0.,0.
1,adversary_2,cooperative,4,0.0,0.0,0.0,False,0.,0.,-0.8116453,0.9512447,0.14224984,-1.04055,0.5790818,-0.18306772,1.3595574,-1.0734879,1.5288411,-0.55650866,1.3339247,-0.3791161,0.,0.,0.,0.,0.5222794,0.5721286,-1.1916748,-0.66143394,-0.75484294,0.19604836,0.02563269,-0.69437176,0.19491644,-0.17739256,-1.3339247,0.3791161,,
1,agent_0,cooperative,3,0.0,0.0,0.0,False,0.,0.,0.5222794,0.5721286,-1.1916748,-0.66143394,-0.75484294,0.19604836,0.02563269,-0.69437176,0.19491644,-0.17739256,-1.3339247,0.3791161,,,-0.,-0.,0.5479121,-0.12224312,-1.2173076,0.03293781,-0.7804757,0.8904201,0.16928375,0.51697916,-1.3595574,1.0734879,-0.02563269,0.69437176,-0.,-0.4
1,adversary_0,cooperative,2,0.0,0.0,0.0,False,-0.,-0.,0.5479121,-0.12224312,-1.2173076,0.03293781,-0.7804757,0.8904201,0.16928375,0.51697916,-1.3595574,1.0734879,-0.02563269,0.69437176,-0.,-0.4,0.,-0.3,0.71719587,0.39473605,-1.3865913,-0.48404136,-0.9497594,0.37344092,-0.16928375,-0.51697916,-1.5288411,0.55650866,-0.19491644,0.17739256,-0.,-0.4
1,adversary_1,cooperative,4,0.0,0.0,0.0,False,0.,-0.3,0.71719587,0.39473605,-1.3865913,-0.48404136,-0.9497594,0.37344092,-0.16928375,-0.51697916,-1.5288411,0.55650866,-0.19491644,0.17739256,-0.,-0.4,-0.,0.3,-0.8116453,0.9512447,0.14224984,-1.04055,0.5790818,-0.18306772,1.3595574,-1.0734879,1.5288411,-0.55650866,1.3339247,-0.3791161,-0.,-0.4
1,adversary_2,cooperative,3,0.0,0.0,0.0,False,-0.,0.3,-0.8116453,0.9512447,0.14224984,-1.04055,0.5790818,-0.18306772,1.3595574,-1.0734879,1.5288411,-0.55650866,1.3339247,-0.3791161,-0.,-0.4,-0.,-0.4,0.5222794,0.5721286,-1.1916748,-0.66143394,-0.75484294,0.19604836,0.02563269,-0.69437176,0.19491644,-0.17739256,-1.3339247,0.3791161,,
1,agent_0,cooperative,3,0.0,0.0,0.0,False,-0.,-0.4,0.5222794,0.5721286,-1.1916748,-0.66143394,-0.75484294,0.19604836,0.02563269,-0.69437176,0.19491644,-0.17739256,-1.3339247,0.3791161,,,0.3,-0.,0.5479121,-0.12224312,-1.2173076,0.03293781,-0.7804757,0.8904201,0.16928375,0.4869792,-1.3595574,1.1034878,-0.02563269,0.65437174,-0.,-0.7
1,adversary_0,cooperative,2,0.0,0.0,0.0,False,0.3,-0.,0.5479121,-0.12224312,-1.2173076,0.03293781,-0.7804757,0.8904201,0.16928375,0.4869792,-1.3595574,1.1034878,-0.02563269,0.65437174,-0.,-0.7,0.,0.075,0.71719587,0.36473605,-1.3865913,-0.45404136,-0.9497594,0.40344092,-0.16928375,-0.4869792,-1.5288411,0.61650866,-0.19491644,0.16739255,-0.,-0.7
1,adversary_1,cooperative,4,0.0,0.0,0.0,False,0.,0.075,0.71719587,0.36473605,-1.3865913,-0.45404136,-0.9497594,0.40344092,-0.16928375,-0.4869792,-1.5288411,0.61650866,-0.19491644,0.16739255,-0.,-0.7,-0.,-0.075,-0.8116453,0.9812447,0.14224984,-1.07055,0.5790818,-0.21306773,1.3595574,-1.1034878,1.5288411,-0.61650866,1.3339247,-0.44911608,-0.,-0.7
1,adversary_2,cooperative,1,0.0,0.0,0.0,False,-0.,-0.075,-0.8116453,0.9812447,0.14224984,-1.07055,0.5790818,-0.21306773,1.3595574,-1.1034878,1.5288411,-0.61650866,1.3339247,-0.44911608,-0.,-0.7,-0.,-0.7,0.5222794,0.53212863,-1.1916748,-0.6214339,-0.75484294,0.23604837,0.02563269,-0.65437174,0.19491644,-0.16739255,-1.3339247,0.44911608,,
1,agent_0,cooperative,4,0.0,0.0,0.0,False,-0.,-0.7,0.5222794,0.53212863,-1.1916748,-0.6214339,-0.75484294,0.23604837,0.02563269,-0.65437174,0.19491644,-0.16739255,-1.3339247,0.44911608,,,0.525,-0.,0.5779121,-0.12224312,-1.2473075,0.03293781,-0.81047565,0.8904201,0.13928375,0.49447918,-1.3895574,1.0959878,-0.05563269,0.58437175,-0.,-0.125
1,adversary_0,cooperative,0,0.0,0.0,0.0,False,0.525,-0.,0.5779121,-0.12224312,-1.2473075,0.03293781,-0.81047565,0.8904201,0.13928375,0.49447918,-1.3895574,1.0959878,-0.05563269,0.58437175,-0.,-0.125,0.,0.35625,0.71719587,0.37223607,-1.3865913,-0.46154138,-0.9497594,0.39594093,-0.13928375,-0.49447918,-1.5288411,0.6015086,-0.19491644,0.08989255,-0.,-0.125
1,adversary_1,cooperative,3,0.0,0.0,0.0,False,0.,0.35625,0.71719587,0.37223607,-1.3865913,-0.46154138,-0.9497594,0.39594093,-0.13928375,-0.49447918,-1.5288411,0.6015086,-0.19491644,0.08989255,-0.,-0.125,-0.3,-0.05625,-0.8116453,0.9737447,0.14224984,-1.06305,0.5790818,-0.20556772,1.3895574,-1.0959878,1.5288411,-0.6015086,1.3339247,-0.5116161,-0.,-0.125
